Keyword,Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Website,Scraped_at,Telephone,Tags,Detail_URL
Petrol Stations Near Moi South Lake Rd,South Lake Naivasha Shell Petrol Station,4.3,236,,Gas station,"Rift KE, Moi S Lake Rd",-0.7795392,36.4269885,Open,Closes 10 pm,https://find.shell.com/ke/fuel/KE_1037212-moi-south-lake-shell-service-station,2023-05-17 15:01:39,0722 651043,,https://www.google.com/maps/place/South+Lake+Naivasha+Shell+Petrol+Station/data=!4m7!3m6!1s0x18293ddbe54a6483:0x13f347f2d6628bd0!8m2!3d-0.7795392!4d36.4269885!16s%2Fg%2F11g18trht7!19sChIJg2RK5ds9KRgR0Iti1vJH8xM?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,SOUTH LAKE SACCO PETROL STATION,3.0,2,,Gas station,7CMJ+VMC,-0.7153108,36.4316504,,,,2023-05-17 15:01:40,7CMJ+VMC,,https://www.google.com/maps/place/SOUTH+LAKE+SACCO+PETROL+STATION/data=!4m7!3m6!1s0x1829179ca401493f:0x77de53f9ddb1c593!8m2!3d-0.7153108!4d36.4316504!16s%2Fg%2F11fszd2ghm!19sChIJP0kBpJwXKRgRk8Wx3flT3nc?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,TotalEnergies Moi Rd service station,4.0,232,,Gas station,Moi Ave,-0.7140124,36.430071,Open 24 hours,,https://totalenergies.ke/,2023-05-17 15:01:41,0724 117267,,https://www.google.com/maps/place/TotalEnergies+Moi+Rd+service+station/data=!4m7!3m6!1s0x182917f4a0808343:0x5c310485649d01b2!8m2!3d-0.7140124!4d36.430071!16s%2Fg%2F1ptx3wwxr!19sChIJQ4OAoPQXKRgRsgGdZIUEMVw?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,TotalEnergies Gilgil service station,3.8,35,,Gas station,Nakuru Nairobi Road,-0.71474,36.432321,Open 24 hours,,https://totalenergies.ke/,2023-05-17 15:01:42,0723 860974,,https://www.google.com/maps/place/TotalEnergies+Gilgil+service+station/data=!4m7!3m6!1s0x182917f4927629d3:0x31e63d1498df4957!8m2!3d-0.71474!4d36.432321!16s%2Fg%2F1pv61h4hb!19sChIJ0yl2kvQXKRgRV0nfmBQ95jE?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Ndabibi Shopping Centre,3.5,4,,Gas station,Moi S Lake Rd,-0.8202537,36.3255008,Open,Closes 8 pm,,2023-05-17 15:01:44,,,https://www.google.com/maps/place/Ndabibi+Shopping+Centre/data=!4m7!3m6!1s0x1829399b9e98d91d:0x540ec5afbda63e6c!8m2!3d-0.8202537!4d36.3255008!16s%2Fg%2F11ftprj54g!19sChIJHdmYnps5KRgRbD6mva_FDlQ?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Shell,4.4,40,,Gas station,Moi Ave,-0.7186376,36.4328928,Open 24 hours,,https://find.shell.com/ke/fuel/KE_700049-naivasha-view-ss,2023-05-17 15:01:45,,,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x182917f6e4d6abab:0xf6bb6111734b3ed1!8m2!3d-0.7186376!4d36.4328928!16s%2Fg%2F1vc_slxw!19sChIJq6vW5PYXKRgR0T5LcxFhu_Y?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,New NNUS Petrol station,No reviews,,,Gas station,"7CJP+PG2, Mama Ngina Rd",-0.7182433,36.4362592,Open now,,,2023-05-17 15:01:46,0776 028010,,https://www.google.com/maps/place/New+NNUS+Petrol+station/data=!4m7!3m6!1s0x182917777525a045:0xd57c9b9198bb0452!8m2!3d-0.7182433!4d36.4362592!16s%2Fg%2F11qt441yl9!19sChIJRaAldXcXKRgRUgS7mJGbfNU?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,New Nairobi Naivasha United Services petrol station,3.0,1,,Gas station,"7CMP+FJM, Mama Ngina Rd",-0.7162896,36.4365396,Open now,,,2023-05-17 15:01:47,,,https://www.google.com/maps/place/New+Nairobi+Naivasha+United+Services+petrol+station/data=!4m7!3m6!1s0x18291977c1b4e6fd:0x551e70f0a4d0ea9!8m2!3d-0.7162896!4d36.4365396!16s%2Fg%2F11j1z65w9p!19sChIJ_ea0wXcZKRgRqQ5NCg_nUQU?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Smat kerosene and Gas station,5.0,1,,Gas station,Unnamed Road,-0.7772883,36.4366083,Open now,,https://smat-kerosene-and-gas-station.business.site/?utm_source=gmb&utm_medium=referral,2023-05-17 15:01:49,,,https://www.google.com/maps/place/Smat+kerosene+and+Gas+station/data=!4m7!3m6!1s0x182923121da03f9f:0x5ff5989c30d78c02!8m2!3d-0.7772883!4d36.4366083!16s%2Fg%2F11lf_5xxrw!19sChIJnz-gHRIjKRgRAozXMJyY9V8?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Oilibya Naivasha,3.7,267,,Gas station,"Mai - Mahiu Road, P. O Box No. 238",-0.719944,36.433493,Open,Closes 8 pm,,2023-05-17 15:01:50,020 362200,,https://www.google.com/maps/place/Oilibya+Naivasha/data=!4m7!3m6!1s0x18293ccca0f3bf61:0xc0521c891c9e13a!8m2!3d-0.719944!4d36.433493!16s%2Fg%2F1vmvyqdh!19sChIJYb_zoMw8KRgROuHJkcghBQw?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Hass Petroleum,4.1,53,,Gas station,"7CQH+4JG, Moi Ave",-0.712099,36.429223,Open 24 hours,,https://hass-petroleum.business.site/?utm_source=gmb&utm_medium=referral,2023-05-17 15:01:51,0115 543114,,https://www.google.com/maps/place/Hass+Petroleum/data=!4m7!3m6!1s0x1829174de3939e5b:0xea28a4ba87ddbba0!8m2!3d-0.712099!4d36.429223!16s%2Fg%2F11h714kqb8!19sChIJW56T400XKRgRoLvdh7qkKOo?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Delta Service Station- Naivasha Town,3.7,3,,Gas station,Naivasha,-0.7171778,36.4310251,,,http://www.galanaoil.com/,2023-05-17 15:01:52,,,https://www.google.com/maps/place/Delta+Service+Station-+Naivasha+Town/data=!4m7!3m6!1s0x182917f34add9c57:0x77b5eb2d12dc9e0a!8m2!3d-0.7171778!4d36.4310251!16s%2Fg%2F11dywqb1b2!19sChIJV5zdSvMXKRgRCp7cEi3rtXc?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Boma Petrol Station,3.2,42,,Gas station,7CHR+G8J,-0.7211522,36.4407797,Open now,,,2023-05-17 15:01:54,,,https://www.google.com/maps/place/Boma+Petrol+Station/data=!4m7!3m6!1s0x182918034be39d85:0x1dcb3ced7783a859!8m2!3d-0.7211522!4d36.4407797!16s%2Fg%2F11fx_4wn5f!19sChIJhZ3jSwMYKRgRWaiDd-08yx0?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Shell Petrol Station,4.2,87,,Gas station,"Delamere, Rift KE, Nakuru - Nairobi Rd",-0.6976574,36.427362,Open 24 hours,,https://find.shell.com/ke/fuel/KE_1031985-delamere-shell-service-station,2023-05-17 15:01:55,0717 411582,,https://www.google.com/maps/place/Shell+Petrol+Station/data=!4m7!3m6!1s0x182917783f9419c5:0xf34bc00753b62483!8m2!3d-0.6976574!4d36.427362!16s%2Fg%2F11dzw881vm!19sChIJxRmUP3gXKRgRgyS2UwfAS_M?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,TotalEnergies Naivasha Highway service station,4.1,463,,Gas station,Nakuru - Nairobi Rd,-0.7391712,36.4583495,Open 24 hours,,https://totalenergies.ke/,2023-05-17 15:01:56,0721 350051,,https://www.google.com/maps/place/TotalEnergies+Naivasha+Highway+service+station/data=!4m7!3m6!1s0x182922961ec5cdd1:0x1e006c60e7867c9d!8m2!3d-0.7391712!4d36.4583495!16s%2Fg%2F1tgttj4p!19sChIJ0c3FHpYiKRgRnXyG52BsAB4?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Rubis Naivasha Highway Service Station,4.2,471,,Gas station,,-0.7377011,36.4574339,Open 24 hours,,,2023-05-17 15:01:57,,,https://www.google.com/maps/place/Rubis+Naivasha+Highway+Service+Station/data=!4m7!3m6!1s0x18292384c1c0d0c7:0x489761832bb2fca7!8m2!3d-0.7377011!4d36.4574339!16s%2Fg%2F11gnn7bgyq!19sChIJx9DAwYQjKRgRp_yyK4Nhl0g?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,Shell petrol station-Kinamba,No reviews,,,Gas station,7F99+MRJ,-0.7307785,36.4695088,,,,2023-05-17 15:01:59,7F99+MRJ,,https://www.google.com/maps/place/Shell+petrol+station-Kinamba/data=!4m7!3m6!1s0x18292395b50308e7:0xc567e72db9822fcd!8m2!3d-0.7307785!4d36.4695088!16s%2Fg%2F11khx0c10n!19sChIJ5wgDtZUjKRgRzS-CuS3nZ8U?authuser=0&hl=en&rclk=1
Petrol Stations Near Moi South Lake Rd,EAGOL Naivasha Service Station,3.9,26,,Gas station,"6FJX+62X, A104",-0.7693838,36.4976188,Open 24 hours,,,2023-05-17 15:02:00,,,https://www.google.com/maps/place/EAGOL+Naivasha+Service+Station/data=!4m7!3m6!1s0x1829238978ac75a7:0x674257369e8f8baf!8m2!3d-0.7693838!4d36.4976188!16s%2Fg%2F11rh66h28g!19sChIJp3WseIkjKRgRr4uPnjZXQmc?authuser=0&hl=en&rclk=1
